Text,Image
urn:cts:greekLit:tlg0012.tlg001.e3:11.1,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.2092,0.3438,0.2232,0.048"
urn:cts:greekLit:tlg0012.tlg001.e3:11.2,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.2112,0.3649,0.2292,0.03"
urn:cts:greekLit:tlg0012.tlg001.e3:11.3,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.2162,0.3814,0.2232,0.03"
urn:cts:greekLit:tlg0012.tlg001.e3:11.4,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.2172,0.3979,0.2282,0.03"
urn:cts:greekLit:tlg0012.tlg001.e3:11.5,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.2132,0.4174,0.2262,0.03"
urn:cts:greekLit:tlg0012.tlg001.e3:11.6,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.2132,0.4339,0.2262,0.03"
urn:cts:greekLit:tlg0012.tlg001.e3:11.7,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.2122,0.452,0.2262,0.027"
urn:cts:greekLit:tlg0012.tlg001.e3:11.8,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.2182,0.4685,0.2142,0.027"
urn:cts:greekLit:tlg0012.tlg001.e3:11.9,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.2172,0.4865,0.2212,0.027"
urn:cts:greekLit:tlg0012.tlg001.e3:11.10,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.2172,0.5045,0.1942,0.027"
urn:cts:greekLit:tlg0012.tlg001.e3:11.11,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.2172,0.5225,0.2192,0.027"
urn:cts:greekLit:tlg0012.tlg001.e3:11.12,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.2172,0.539,0.2252,0.027"
urn:cts:greekLit:tlg0012.tlg001.e3:11.13,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.2192,0.5556,0.2172,0.027"
