Text,Image,Folio
urn:cts:greekLit:tlg5026.msAint.hmt:11.1,"urn:cite:hmt:vaimg.VA137VN-0639@0.7124,0.2338,0.1643,0.0376",urn:cite:hmt:msA.137v
urn:cts:greekLit:tlg5026.msAint.hmt:11.2,"urn:cite:hmt:vaimg.VA137VN-0639@0.8417,0.509,0.0551,0.0316",urn:cite:hmt:msA.137v
urn:cts:greekLit:tlg5026.msAint.hmt:11.3,"urn:cite:hmt:vaimg.VA138RN-0310@0.1052,0.2602,0.0711,0.0218",urn:cite:hmt:msA.138r
urn:cts:greekLit:tlg5026.msAint.hmt:11.4,"urn:cite:hmt:vaimg.VA138RN-0310@0.0902,0.3286,0.0691,0.0556",urn:cite:hmt:msA.138r
urn:cts:greekLit:tlg5026.msAint.hmt:11.5,"urn:cite:hmt:vaimg.VA138RN-0310@0.0842,0.4526,0.0752,0.0323",urn:cite:hmt:msA.138r
urn:cts:greekLit:tlg5026.msAint.hmt:11.6,"urn:cite:hmt:vaimg.VA138VN-0640@0.887,0.3176,0.034,0.0248",urn:cite:hmt:msA.138v
urn:cts:greekLit:tlg5026.msAint.hmt:11.7,"urn:cite:hmt:vaimg.VA139RN-0311@0.1242,0.2188,0.0551,0.0263",urn:cite:hmt:msA.139r
urn:cts:greekLit:tlg5026.msAint.hmt:11.8,"urn:cite:hmt:vaimg.VA140RN-0312@0.0962,0.3782,0.0681,0.0248",urn:cite:hmt:msA.140r
urn:cts:greekLit:tlg5026.msAint.hmt:11.9,"urn:cite:hmt:vaimg.VA142RN-0314@0.101,0.2296,0.067,0.0315",urn:cite:hmt:msA.142r
urn:cts:greekLit:tlg5026.msAint.hmt:11.10,"urn:cite:hmt:vaimg.VA142VN-0644@0.86,0.3413,0.053,0.0255",urn:cite:hmt:msA.142v
urn:cts:greekLit:tlg5026.msAint.hmt:11.11,"urn:cite:hmt:vaimg.VA143RN-0315@0.091,0.4771,0.057,0.0338",urn:cite:hmt:msA.143r
urn:cts:greekLit:tlg5026.msAint.hmt:11.12,"urn:cite:hmt:vaimg.VA143RN-0315@0.087,0.6624,0.099,0.0458",urn:cite:hmt:msA.143r
urn:cts:greekLit:tlg5026.msAint.hmt:11.13,"urn:cite:hmt:vaimg.VA144VN-0646@0.885,0.5086,0.045,0.0503",urn:cite:hmt:msA.144v
urn:cts:greekLit:tlg5026.msAint.hmt:11.14,"urn:cite:hmt:vaimg.VA145RN-0317@0.089,0.4936,0.072,0.042",urn:cite:hmt:msA.145r
urn:cts:greekLit:tlg5026.msAint.hmt:11.15,"urn:cite:hmt:vaimg.VA145RN-0317@0.093,0.5679,0.068,0.0398",urn:cite:hmt:msA.145r
urn:cts:greekLit:tlg5026.msAint.hmt:11.16,"urn:cite:hmt:vaimg.VA145VN-0647@0.91,0.6047,0.027,0.0255",urn:cite:hmt:msA.145v
urn:cts:greekLit:tlg5026.msAint.hmt:11.17,"",
urn:cts:greekLit:tlg5026.msAint.hmt:11.18,"",
urn:cts:greekLit:tlg5026.msAint.hmt:11.19,"",
urn:cts:greekLit:tlg5026.msAint.hmt:11.20,"",
urn:cts:greekLit:tlg5026.msAint.hmt:11.21,"",
urn:cts:greekLit:tlg5026.msAint.hmt:11.22,"",
urn:cts:greekLit:tlg5026.msAint.hmt:11.23,"",
urn:cts:greekLit:tlg5026.msAint.hmt:11.24,"",
urn:cts:greekLit:tlg5026.msAint.hmt:11.25,"",
urn:cts:greekLit:tlg5026.msAint.hmt:11.26,"",
urn:cts:greekLit:tlg5026.msAint.hmt:11.27,"",
urn:cts:greekLit:tlg5026.msAint.hmt:11.28,"",
urn:cts:greekLit:tlg5026.msAint.hmt:11.29,"",
