FootnoteUrn,Scholion,TextUrn,Image,Number,Folio,SequenceOnFolio
urn:cite:hmt:e3footnotes.11-1,urn:cts:greekLit:tlg5026.e3.hmt:11.1,urn:cts:greekLit:tlg0012.tlg001.e3:11.1@ἠὼς,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.2303,0.3396,0.0158,0.0167",1,urn:cite:hmt:e3bifolio.E3_136v_137r,1
urn:cite:hmt:e3footnotes.11-2,urn:cts:greekLit:tlg5026.e3.hmt:11.2,urn:cts:greekLit:tlg0012.tlg001.e3:11.1@Τιθωνοῖο,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.3779,0.3498,0.0158,0.0167",2,urn:cite:hmt:e3bifolio.E3_136v_137r,2
urn:cite:hmt:e3footnotes.11-3,urn:cts:greekLit:tlg5026.e3.hmt:11.4,urn:cts:greekLit:tlg0012.tlg001.e3:11.2@ἀθανάτοισι,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.2793,0.3633,0.0158,0.0167",3,urn:cite:hmt:e3bifolio.E3_136v_137r,3
urn:cite:hmt:e3footnotes.11-4,urn:cts:greekLit:tlg5026.e3.hmt:11.3,urn:cts:greekLit:tlg0012.tlg001.e3:11.3@Ἔριδα,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.2712,0.3792,0.0158,0.0167",4,urn:cite:hmt:e3bifolio.E3_136v_137r,4
urn:cite:hmt:e3footnotes.11-5,,urn:cts:greekLit:tlg0012.tlg001.e3:11.5@Ὀδυσσῆος,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.2725,0.4135,0.0158,0.0167",5,urn:cite:hmt:e3bifolio.E3_136v_137r,5
urn:cite:hmt:e3footnotes.11-6,,urn:cts:greekLit:tlg0012.tlg001.e3:11.8@ἐπ᾽ Ἀχιλλῆος,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.2573,0.4673,0.0158,0.0167",6,urn:cite:hmt:e3bifolio.E3_136v_137r,6
urn:cite:hmt:e3footnotes.11-7,,urn:cts:greekLit:tlg0012.tlg001.e3:11.11@Ἀχαιοῖσι,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.278,0.52,0.0158,0.0167",7,urn:cite:hmt:e3bifolio.E3_136v_137r,7
urn:cite:hmt:e3footnotes.11-8,urn:cts:greekLit:tlg5026.e3.hmt:11.5,urn:cts:greekLit:tlg0012.tlg001.e3:11.13@ἄφαρ,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.2695,0.5563,0.0136,0.0139",8,urn:cite:hmt:e3bifolio.E3_136v_137r,8
urn:cite:hmt:e3footnotes.11-9,urn:cts:greekLit:tlg5026.e3.hmt:11.6,urn:cts:greekLit:tlg0012.tlg001.e3:11.16@ἐδύσετο,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.3215,0.6065,0.0133,0.0118",9,urn:cite:hmt:e3bifolio.E3_136v_137r,9
urn:cite:hmt:e3footnotes.11-10,urn:cts:greekLit:tlg5026.e3.hmt:11.7,urn:cts:greekLit:tlg0012.tlg001.e3:11.20@Κινύρης,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.2811,0.6773,0.0133,0.0126",10,urn:cite:hmt:e3bifolio.E3_136v_137r,10
urn:cite:hmt:e3footnotes.11-11,urn:cts:greekLit:tlg5026.e3.hmt:11.8,urn:cts:greekLit:tlg0012.tlg001.e3:11.24@οἶμοι,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.5643,0.3297,0.0136,0.0156",11,urn:cite:hmt:e3bifolio.E3_136v_137r,11
urn:cite:hmt:e3footnotes.11-12,urn:cts:greekLit:tlg5026.e3.hmt:11.9,urn:cts:greekLit:tlg0012.tlg001.e3:11.26@δράκοντες,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.5658,0.3622,0.0136,0.0156",12,urn:cite:hmt:e3bifolio.E3_136v_137r,12
urn:cite:hmt:e3footnotes.11-13,urn:cts:greekLit:tlg5026.e3.hmt:11.10,urn:cts:greekLit:tlg0012.tlg001.e3:11.27@ἴρισσιν,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.5551,0.3804,0.0136,0.0156",13,urn:cite:hmt:e3bifolio.E3_136v_137r,13
urn:cite:hmt:e3footnotes.11-14,urn:cts:greekLit:tlg5026.e3.hmt:11.11,urn:cts:greekLit:tlg0012.tlg001.e3:11.28@τέρας,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.5793,0.3978,0.0136,0.0156",14,urn:cite:hmt:e3bifolio.E3_136v_137r,14
urn:cite:hmt:e3footnotes.11-15,urn:cts:greekLit:tlg5026.e3.hmt:11.12,urn:cts:greekLit:tlg0012.tlg001.e3:11.36@Γοργὼ,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.5528,0.5356,0.0136,0.0156",15,urn:cite:hmt:e3bifolio.E3_136v_137r,15
urn:cite:hmt:e3footnotes.11-16,urn:cts:greekLit:tlg5026.e3.hmt:11.13,urn:cts:greekLit:tlg0012.tlg001.e3:11.40@ἀμφιστρεφέες,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.5253,0.6028,0.0136,0.0156",16,urn:cite:hmt:e3bifolio.E3_136v_137r,16
urn:cite:hmt:e3footnotes.11-17,urn:cts:greekLit:tlg5026.e3.hmt:11.14,urn:cts:greekLit:tlg0012.tlg001.e3:11.45@ἐγδούπησαν,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.5675,0.6864,0.0136,0.0156",17,urn:cite:hmt:e3bifolio.E3_136v_137r,17
urn:cite:hmt:e3footnotes.11-18,,,,1,urn:cite:hmt:e3bifolio.E3_137v_138r,1
urn:cite:hmt:e3footnotes.11-19,,,,2,urn:cite:hmt:e3bifolio.E3_137v_138r,2
urn:cite:hmt:e3footnotes.11-20,,,,3,urn:cite:hmt:e3bifolio.E3_137v_138r,3
urn:cite:hmt:e3footnotes.11-21,,,,4,urn:cite:hmt:e3bifolio.E3_137v_138r,4
urn:cite:hmt:e3footnotes.11-22,,,,5,urn:cite:hmt:e3bifolio.E3_137v_138r,5
urn:cite:hmt:e3footnotes.11-23,,,,6,urn:cite:hmt:e3bifolio.E3_137v_138r,6
urn:cite:hmt:e3footnotes.11-24,,,,7,urn:cite:hmt:e3bifolio.E3_137v_138r,7
urn:cite:hmt:e3footnotes.11-25,,,,8,urn:cite:hmt:e3bifolio.E3_137v_138r,8
urn:cite:hmt:e3footnotes.11-26,,,,9,urn:cite:hmt:e3bifolio.E3_137v_138r,9
urn:cite:hmt:e3footnotes.11-27,,,,10,urn:cite:hmt:e3bifolio.E3_137v_138r,10
urn:cite:hmt:e3footnotes.11-28,,,,11,urn:cite:hmt:e3bifolio.E3_137v_138r,11
urn:cite:hmt:e3footnotes.11-29,,,,12,urn:cite:hmt:e3bifolio.E3_137v_138r,12
urn:cite:hmt:e3footnotes.11-30,,,,13,urn:cite:hmt:e3bifolio.E3_137v_138r,13
urn:cite:hmt:e3footnotes.11-31,,,,14,urn:cite:hmt:e3bifolio.E3_137v_138r,14
urn:cite:hmt:e3footnotes.11-32,,,,15,urn:cite:hmt:e3bifolio.E3_137v_138r,15
urn:cite:hmt:e3footnotes.11-33,,,,16,urn:cite:hmt:e3bifolio.E3_137v_138r,16
urn:cite:hmt:e3footnotes.11-34,,,,17,urn:cite:hmt:e3bifolio.E3_137v_138r,17
urn:cite:hmt:e3footnotes.11-35,,,,18,urn:cite:hmt:e3bifolio.E3_137v_138r,18
urn:cite:hmt:e3footnotes.11-36,,,,19,urn:cite:hmt:e3bifolio.E3_137v_138r,19
urn:cite:hmt:e3footnotes.11-37,,,,20,urn:cite:hmt:e3bifolio.E3_137v_138r,20
urn:cite:hmt:e3footnotes.11-38,urn:cts:greekLit:tlg5026.e3.hmt:11.35,urn:cts:greekLit:tlg0012.tlg001.e3:11.98@πεπάλακτο,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.3177,0.3652,0.0122,0.0162",1,urn:cite:hmt:e3bifolio.E3_138v_139r,1
urn:cite:hmt:e3footnotes.11-39,urn:cts:greekLit:tlg5026.e3.hmt:11.36,urn:cts:greekLit:tlg0012.tlg001.e3:11.100@παμφαίνοντας,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.3019,0.3993,0.0122,0.0162",2,urn:cite:hmt:e3bifolio.E3_138v_139r,2
urn:cite:hmt:e3footnotes.11-40,urn:cts:greekLit:tlg5026.e3.hmt:11.37,urn:cts:greekLit:tlg0012.tlg001.e3:11.103@νόθος,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.3753,0.4517,0.0122,0.0162",3,urn:cite:hmt:e3bifolio.E3_138v_139r,3
urn:cite:hmt:e3footnotes.11-41,urn:cts:greekLit:tlg5026.e3.hmt:11.38,urn:cts:greekLit:tlg0012.tlg001.e3:11.104@ Ἀχιλλεὺς,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4114,0.4687,0.0122,0.0162",4,urn:cite:hmt:e3bifolio.E3_138v_139r,4
urn:cite:hmt:e3footnotes.11-42,urn:cts:greekLit:tlg5026.e3.hmt:11.39,urn:cts:greekLit:tlg0012.tlg001.e3:11.105@μόσχοισι,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.3497,0.4862,0.0122,0.0162",5,urn:cite:hmt:e3bifolio.E3_138v_139r,5
urn:cite:hmt:e3footnotes.11-43,urn:cts:greekLit:tlg5026.e3.hmt:11.40,urn:cts:greekLit:tlg0012.tlg001.e3:11.110@σπερχόμενος,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.2656,0.5691,0.0122,0.0162",6,urn:cite:hmt:e3bifolio.E3_138v_139r,6
urn:cite:hmt:e3footnotes.11-44,urn:cts:greekLit:tlg5026.e3.hmt:11.41,urn:cts:greekLit:tlg0012.tlg001.e3:11.113@λέων,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.253,0.6194,0.0122,0.0162",7,urn:cite:hmt:e3bifolio.E3_138v_139r,7
urn:cite:hmt:e3footnotes.11-45,urn:cts:greekLit:tlg5026.e3.hmt:11.42,urn:cts:greekLit:tlg0012.tlg001.e3:11.115@εἰς εὐνήν,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.2574,0.6513,0.0122,0.0162",8,urn:cite:hmt:e3bifolio.E3_138v_139r,8
urn:cite:hmt:e3footnotes.11-46,urn:cts:greekLit:tlg5026.e3.hmt:11.43,urn:cts:greekLit:tlg0012.tlg001.e3:11.115@ἁπαλὸν,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.3037,0.653,0.0122,0.0162",9,urn:cite:hmt:e3bifolio.E3_138v_139r,9
urn:cite:hmt:e3footnotes.11-47,urn:cts:greekLit:tlg5026.e3.hmt:11.44,urn:cts:greekLit:tlg0012.tlg001.e3:11.117@αὐτὴν γάρ μιν,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.3002,0.6862,0.0122,0.0162",10,urn:cite:hmt:e3bifolio.E3_138v_139r,10
urn:cite:hmt:e3footnotes.11-48,urn:cts:greekLit:tlg5026.e3.hmt:11.45,urn:cts:greekLit:tlg0012.tlg001.e3:11.123@δαΐφρονος,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.5756,0.3893,0.015,0.0145",11,urn:cite:hmt:e3bifolio.E3_138v_139r,11
urn:cite:hmt:e3footnotes.11-49,urn:cts:greekLit:tlg5026.e3.hmt:11.46,urn:cts:greekLit:tlg0012.tlg001.e3:11.123@ῥα μάλιστα,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.6352,0.3893,0.015,0.0145",12,urn:cite:hmt:e3bifolio.E3_138v_139r,12
urn:cite:hmt:e3footnotes.11-50,urn:cts:greekLit:tlg5026.e3.hmt:11.47,urn:cts:greekLit:tlg0012.tlg001.e3:11.127@ἔχον,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.6219,0.4597,0.015,0.0145",13,urn:cite:hmt:e3bifolio.E3_138v_139r,13
urn:cite:hmt:e3footnotes.11-51,urn:cts:greekLit:tlg5026.e3.hmt:11.48,urn:cts:greekLit:tlg0012.tlg001.e3:11.130@δίφρου,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.6009,0.5103,0.015,0.0145",14,urn:cite:hmt:e3bifolio.E3_138v_139r,14
urn:cite:hmt:e3footnotes.11-52,urn:cts:greekLit:tlg5026.e3.hmt:11.49,urn:cts:greekLit:tlg0012.tlg001.e3:11.131@ἄξια,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.6009,0.527,0.015,0.0145",15,urn:cite:hmt:e3bifolio.E3_138v_139r,15
urn:cite:hmt:e3footnotes.11-53,urn:cts:greekLit:tlg5026.e3.hmt:11.51,urn:cts:greekLit:tlg0012.tlg001.e3:11.134@χαρίσαιτο,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.5509,0.5762,0.015,0.0149",17,urn:cite:hmt:e3bifolio.E3_138v_139r,16
urn:cite:hmt:e3footnotes.11-54,urn:cts:greekLit:tlg5026.e3.hmt:11.52,urn:cts:greekLit:tlg0012.tlg001.e3:11.137@ἀμείλικτον,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.5921,0.6255,0.015,0.0149",18,urn:cite:hmt:e3bifolio.E3_138v_139r,17
urn:cite:hmt:e3footnotes.11-55,urn:cts:greekLit:tlg5026.e3.hmt:11.53,urn:cts:greekLit:tlg0012.tlg001.e3:11.138@εἰ μὲν,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4772,0.6381,0.015,0.0149",19,urn:cite:hmt:e3bifolio.E3_138v_139r,18
urn:cite:hmt:e3footnotes.11-56,urn:cts:greekLit:tlg5026.e3.hmt:11.54,urn:cts:greekLit:tlg0012.tlg001.e3:11.138@δαΐφρονος,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.5771,0.6431,0.015,0.0149",20,urn:cite:hmt:e3bifolio.E3_138v_139r,19
urn:cite:hmt:e3footnotes.11-57,urn:cts:greekLit:tlg5026.e3.hmt:11.55,urn:cts:greekLit:tlg0012.tlg001.e3:11.140@ἀγγελίην,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4796,0.6697,0.015,0.0149",21,urn:cite:hmt:e3bifolio.E3_138v_139r,20
urn:cite:hmt:e3footnotes.11-58,urn:cts:greekLit:tlg5026.e3.hmt:11.56,urn:cts:greekLit:tlg0012.tlg001.e3:11.142@ ἀεικέα,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.615,0.7104,0.015,0.0149",22,urn:cite:hmt:e3bifolio.E3_138v_139r,21
urn:cite:hmt:e3footnotes.11-59,,urn:cts:greekLit:tlg0012.tlg001.e3:11.146@χεῖρας,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2536,0.3658,0.0114,0.0179",1,urn:cite:hmt:e3bifolio.E3_139v_140r,1
urn:cite:hmt:e3footnotes.11-60,,urn:cts:greekLit:tlg0012.tlg001.e3:11.147@ὅλμον,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2523,0.3829,0.0127,0.0179",2,urn:cite:hmt:e3bifolio.E3_139v_140r,2
urn:cite:hmt:e3footnotes.11-61,urn:cts:greekLit:tlg5026.e3.hmt:11.59,urn:cts:greekLit:tlg0012.tlg001.e3:11.151@ὦρτο,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.3737,0.452,0.0127,0.0179",3,urn:cite:hmt:e3bifolio.E3_139v_140r,3
urn:cite:hmt:e3footnotes.11-62,urn:cts:greekLit:tlg5026.e3.hmt:11.60,urn:cts:greekLit:tlg0012.tlg001.e3:11.154@κελεύων,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.4014,0.5021,0.0127,0.0179",4,urn:cite:hmt:e3bifolio.E3_139v_140r,4
urn:cite:hmt:e3footnotes.11-63,,urn:cts:greekLit:tlg0012.tlg001.e3:11.155@ἀξύλῳ,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.3683,0.5171,0.0127,0.0179",5,urn:cite:hmt:e3bifolio.E3_139v_140r,5
urn:cite:hmt:e3footnotes.11-64,,urn:cts:greekLit:tlg0012.tlg001.e3:11.156@εἰλυφόων,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.3065,0.535,0.0127,0.0179",6,urn:cite:hmt:e3bifolio.E3_139v_140r,6
urn:cite:hmt:e3footnotes.11-65,urn:cts:greekLit:tlg5026.e3.hmt:11.63,urn:cts:greekLit:tlg0012.tlg001.e3:11.157@πρόρριζοι,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2536,0.55,0.0127,0.0179",7,urn:cite:hmt:e3bifolio.E3_139v_140r,7
urn:cite:hmt:e3footnotes.11-66,urn:cts:greekLit:tlg5026.e3.hmt:11.64,urn:cts:greekLit:tlg0012.tlg001.e3:11.159@φευγόντων,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.3127,0.5854,0.0127,0.0179",8,urn:cite:hmt:e3bifolio.E3_139v_140r,8
urn:cite:hmt:e3footnotes.11-67,urn:cts:greekLit:tlg5026.e3.hmt:11.65,urn:cts:greekLit:tlg0012.tlg001.e3:11.162@γύπεσσιν,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2807,0.6354,0.0127,0.0179",9,urn:cite:hmt:e3bifolio.E3_139v_140r,9
urn:cite:hmt:e3footnotes.11-68,urn:cts:greekLit:tlg5026.e3.hmt:11.66,urn:cts:greekLit:tlg0012.tlg001.e3:11.163@βελέων,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.3,0.6529,0.0127,0.0179",10,urn:cite:hmt:e3bifolio.E3_139v_140r,10
urn:cite:hmt:e3footnotes.11-69,urn:cts:greekLit:tlg5026.e3.hmt:11.67,urn:cts:greekLit:tlg0012.tlg001.e3:11.165@σφεδανὸν,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.3211,0.6838,0.0127,0.0179",11,urn:cite:hmt:e3bifolio.E3_139v_140r,11
urn:cite:hmt:e3footnotes.11-70,urn:cts:greekLit:tlg5026.e3.hmt:11.68,urn:cts:greekLit:tlg0012.tlg001.e3:11.168@πεδίον,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.5308,0.3208,0.019,0.0161",12,urn:cite:hmt:e3bifolio.E3_139v_140r,12
urn:cite:hmt:e3footnotes.11-71,urn:cts:greekLit:tlg5026.e3.hmt:11.69,urn:cts:greekLit:tlg0012.tlg001.e3:11.174@ἀναφαίνεται,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.5707,0.4437,0.019,0.0161",13,urn:cite:hmt:e3bifolio.E3_139v_140r,13
urn:cite:hmt:e3footnotes.11-72,urn:cts:greekLit:tlg5026.e3.hmt:11.70,urn:cts:greekLit:tlg0012.tlg001.e3:11.181@ἀλλ᾽ ὅτε,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.5081,0.5601,0.019,0.0161",14,urn:cite:hmt:e3bifolio.E3_139v_140r,14
urn:cite:hmt:e3footnotes.11-73,urn:cts:greekLit:tlg5026.e3.hmt:11.71,urn:cts:greekLit:tlg0012.tlg001.e3:11.184@ἀστεροπὴν,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.6235,0.6155,0.019,0.0161",15,urn:cite:hmt:e3bifolio.E3_139v_140r,15
urn:cite:hmt:e3footnotes.11-74,urn:cts:greekLit:tlg5026.e3.hmt:11.72,urn:cts:greekLit:tlg0012.tlg001.e3:11.187@ἂν μέν κεν,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.6235,0.6155,0.019,0.0161",16,urn:cite:hmt:e3bifolio.E3_139v_140r,16
urn:cite:hmt:e3footnotes.11-75,urn:cts:greekLit:tlg5026.e3.hmt:11.73,urn:cts:greekLit:tlg0012.tlg001.e3:11.191@βλήμενος,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.6457,0.7356,0.019,0.0161",17,urn:cite:hmt:e3bifolio.E3_139v_140r,17
urn:cite:hmt:e3footnotes.11-76,urn:cts:greekLit:tlg5026.e3.hmt:11.74,urn:cts:greekLit:tlg0012.tlg001.e3:11.192@ἐγγυαλίξω,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.4044,0.3207,0.0142,0.0164",1,urn:cite:hmt:e3bifolio.E3_140v_141r,1
urn:cite:hmt:e3footnotes.11-77,urn:cts:greekLit:tlg5026.e3.hmt:11.75,urn:cts:greekLit:tlg0012.tlg001.e3:11.194@δύη,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.2602,0.3549,0.0142,0.0164",2,urn:cite:hmt:e3bifolio.E3_140v_141r,2
urn:cite:hmt:e3footnotes.11-78,urn:cts:greekLit:tlg5026.e3.hmt:11.76,urn:cts:greekLit:tlg0012.tlg001.e3:11.198@ἵπποισι,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.3066,0.4234,0.0142,0.0164",3,urn:cite:hmt:e3bifolio.E3_140v_141r,3
urn:cite:hmt:e3footnotes.11-79,urn:cts:greekLit:tlg5026.e3.hmt:11.77,urn:cts:greekLit:tlg0012.tlg001.e3:11.201@τάδε,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.3854,0.4751,0.0142,0.0164",4,urn:cite:hmt:e3bifolio.E3_140v_141r,4
urn:cite:hmt:e3footnotes.11-80,urn:cts:greekLit:tlg5026.e3.hmt:11.78,urn:cts:greekLit:tlg0012.tlg001.e3:11.202@ὀχέων,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.2944,0.6447,0.0142,0.0164",5,urn:cite:hmt:e3bifolio.E3_140v_141r,5
urn:cite:hmt:e3footnotes.11-81,urn:cts:greekLit:tlg5026.e3.hmt:11.79,urn:cts:greekLit:tlg0012.tlg001.e3:11.217@πρῶτος,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.4974,0.3239,0.0176,0.021",6,urn:cite:hmt:e3bifolio.E3_140v_141r,6
