Scholion,Image,Number
urn:cts:greekLit:tlg5026.e3.hmt:11.1,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.0815,0.1687,0.0174,0.0183",1
urn:cts:greekLit:tlg5026.e3.hmt:11.2,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.089,0.5413,0.0131,0.0232",2
urn:cts:greekLit:tlg5026.e3.hmt:11.3,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.0881,0.7237,0.013,0.0255",4
urn:cts:greekLit:tlg5026.e3.hmt:11.4,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.1543,0.7717,0.016,0.0176",3
urn:cts:greekLit:tlg5026.e3.hmt:11.5,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.0895,0.8076,0.0122,0.019",8
urn:cts:greekLit:tlg5026.e3.hmt:11.6,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.0853,0.8238,0.016,0.0134",9
urn:cts:greekLit:tlg5026.e3.hmt:11.7,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.3187,0.8224,0.0122,0.0232",10
urn:cts:greekLit:tlg5026.e3.hmt:11.8,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.473,0.2267,0.0141,0.0307",11
urn:cts:greekLit:tlg5026.e3.hmt:11.9,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.7011,0.3251,0.0141,0.0307",12
urn:cts:greekLit:tlg5026.e3.hmt:11.10,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.6988,0.5893,0.0141,0.0307",13
urn:cts:greekLit:tlg5026.e3.hmt:11.11,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.4698,0.7382,0.0137,0.0253",14
urn:cts:greekLit:tlg5026.e3.hmt:11.12,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.4693,0.7573,0.0137,0.0253",15
urn:cts:greekLit:tlg5026.e3.hmt:11.13,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.5217,0.7812,0.0187,0.0171",16
urn:cts:greekLit:tlg5026.e3.hmt:11.14,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.5631,0.7962,0.0187,0.0171",17
urn:cts:greekLit:tlg5026.e3.hmt:11.15,"",1
urn:cts:greekLit:tlg5026.e3.hmt:11.16,"",2
urn:cts:greekLit:tlg5026.e3.hmt:11.17,"",3
urn:cts:greekLit:tlg5026.e3.hmt:11.18,"",4
urn:cts:greekLit:tlg5026.e3.hmt:11.19,"",5
urn:cts:greekLit:tlg5026.e3.hmt:11.20,"",6
urn:cts:greekLit:tlg5026.e3.hmt:11.21,"",7
urn:cts:greekLit:tlg5026.e3.hmt:11.22,"",8
urn:cts:greekLit:tlg5026.e3.hmt:11.23,"",9
urn:cts:greekLit:tlg5026.e3.hmt:11.24,"",10
urn:cts:greekLit:tlg5026.e3.hmt:11.25,"",11
urn:cts:greekLit:tlg5026.e3.hmt:11.26,"",12
urn:cts:greekLit:tlg5026.e3.hmt:11.27,"",13
urn:cts:greekLit:tlg5026.e3.hmt:11.28,"",14
urn:cts:greekLit:tlg5026.e3.hmt:11.29,"",15
urn:cts:greekLit:tlg5026.e3.hmt:11.30,"",16
urn:cts:greekLit:tlg5026.e3.hmt:11.31,"",17
urn:cts:greekLit:tlg5026.e3.hmt:11.32,"",18
urn:cts:greekLit:tlg5026.e3.hmt:11.33,"",19
urn:cts:greekLit:tlg5026.e3.hmt:11.34,"",20
urn:cts:greekLit:tlg5026.e3.hmt:11.35,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.0801,0.2042,0.023,0.03",1
urn:cts:greekLit:tlg5026.e3.hmt:11.36,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.3614,0.2568,0.019,0.0255",2
urn:cts:greekLit:tlg5026.e3.hmt:11.37,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.2993,0.2748,0.026,0.03",3
urn:cts:greekLit:tlg5026.e3.hmt:11.38,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.0821,0.3604,0.015,0.033",4
urn:cts:greekLit:tlg5026.e3.hmt:11.39,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.0811,0.4444,0.015,0.033",5
urn:cts:greekLit:tlg5026.e3.hmt:11.40,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.0761,0.5165,0.02,0.0465",6
urn:cts:greekLit:tlg5026.e3.hmt:11.42,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.0841,0.7613,0.02,0.0465",8
urn:cts:greekLit:tlg5026.e3.hmt:11.43,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.0881,0.8048,0.02,0.0465",9
urn:cts:greekLit:tlg5026.e3.hmt:11.44,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.0881,0.8333,0.02,0.0465",10
urn:cts:greekLit:tlg5026.e3.hmt:11.45,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4601,0.2263,0.0146,0.0225",11
urn:cts:greekLit:tlg5026.e3.hmt:11.46,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4592,0.2418,0.0146,0.0225",12
